DateTime,Id,HeartRate,Steps,TotalMinutesAsleep
2016-04-12 00:00:00+00:00,4020332650,63.5,0,501.0
2016-04-12 00:01:00+00:00,4020332650,65.91304347826087,0,501.0
2016-04-12 00:02:00+00:00,4020332650,67.0,0,501.0
2016-04-12 00:03:00+00:00,4020332650,67.0,0,501.0
2016-04-12 00:04:00+00:00,4020332650,67.0,0,501.0
2016-04-12 00:05:00+00:00,4020332650,67.91304347826087,0,501.0
2016-04-12 00:06:00+00:00,4020332650,70.0,0,501.0
2016-04-12 00:07:00+00:00,4020332650,70.0,0,501.0
2016-04-12 00:08:00+00:00,4020332650,70.0,0,501.0
2016-04-12 00:09:00+00:00,4020332650,73.96153846153847,0,501.0
2016-04-12 00:10:00+00:00,4020332650,65.22222222222223,0,501.0
2016-04-12 00:11:00+00:00,4020332650,62.28,0,501.0
2016-04-12 00:12:00+00:00,4020332650,65.0,0,501.0
2016-04-12 00:13:00+00:00,4020332650,65.0,0,501.0
2016-04-12 00:14:00+00:00,4020332650,65.0,0,501.0
2016-04-12 07:19:00+00:00,2347167796,113.1,16,0.0
2016-04-12 07:20:00+00:00,2347167796,110.0,13,0.0
2016-04-12 07:21:00+00:00,2347167796,99.44444444444444,10,0.0
2016-04-12 07:21:00+00:00,2022484408,101.6,17,0.0
2016-04-12 07:22:00+00:00,2347167796,92.375,15,0.0
2016-04-12 07:22:00+00:00,2022484408,87.88888888888889,9,0.0
2016-04-12 07:23:00+00:00,2347167796,88.14285714285714,49,0.0
2016-04-12 07:23:00+00:00,2022484408,58.0,0,0.0
2016-04-12 07:24:00+00:00,2022484408,58.0,0,0.0
2016-04-12 07:24:00+00:00,2347167796,84.57142857142857,9,0.0
2016-04-12 07:25:00+00:00,2347167796,87.72727272727273,63,0.0
2016-04-12 07:25:00+00:00,2022484408,56.77777777777778,0,0.0
2016-04-12 07:26:00+00:00,2347167796,88.5,48,0.0
2016-04-12 07:26:00+00:00,2022484408,53.16666666666666,7,0.0
2016-04-12 07:27:00+00:00,2022484408,55.142857142857146,0,0.0
2016-04-12 07:27:00+00:00,2347167796,78.75,17,0.0
2016-04-12 07:28:00+00:00,2347167796,78.83333333333333,0,0.0
2016-04-12 07:28:00+00:00,2022484408,65.66666666666667,13,0.0
2016-04-12 07:29:00+00:00,2022484408,73.0,9,0.0
2016-04-12 07:29:00+00:00,2347167796,77.71428571428571,8,0.0
2016-04-12 07:30:00+00:00,2022484408,78.0,15,0.0
2016-04-12 07:30:00+00:00,2347167796,76.66666666666667,0,0.0
2016-04-12 07:31:00+00:00,2022484408,78.0,0,0.0
2016-04-12 07:31:00+00:00,2347167796,77.5,0,0.0
2016-04-12 07:32:00+00:00,2347167796,76.0,9,0.0
2016-04-12 07:32:00+00:00,2022484408,78.0,0,0.0
2016-04-12 07:33:00+00:00,2022484408,78.0,0,0.0
2016-04-12 07:33:00+00:00,2347167796,82.6,11,0.0
2016-04-12 07:34:00+00:00,2022484408,78.0,0,0.0
2016-04-12 07:35:00+00:00,2022484408,71.83333333333333,0,0.0
2016-04-13 00:00:00+00:00,4388161847,61.333333333333336,0,0.0
2016-04-13 00:01:00+00:00,4388161847,57.142857142857146,0,0.0
2016-04-13 00:02:00+00:00,4388161847,56.0,0,0.0
2016-04-13 00:03:00+00:00,4388161847,57.0,0,0.0
2016-04-13 00:04:00+00:00,4388161847,62.333333333333336,0,0.0
2016-04-13 00:05:00+00:00,4388161847,62.16666666666666,0,0.0
2016-04-13 00:06:00+00:00,4388161847,63.0,0,0.0
2016-04-13 00:07:00+00:00,4388161847,62.0,0,0.0
2016-04-13 00:08:00+00:00,4388161847,63.833333333333336,0,0.0
2016-04-13 00:09:00+00:00,4388161847,63.6,0,0.0
2016-04-13 00:10:00+00:00,4388161847,61.2,0,0.0
2016-04-13 00:11:00+00:00,4388161847,61.833333333333336,0,0.0
2016-04-13 00:12:00+00:00,4388161847,61.6,0,0.0
2016-04-13 00:13:00+00:00,4388161847,57.833333333333336,0,0.0
2016-04-13 00:14:00+00:00,4388161847,58.66666666666666,0,0.0
2016-04-17 05:30:00+00:00,2026352035,67.5,0,437.0
2016-04-17 05:31:00+00:00,2026352035,67.8,0,437.0
2016-04-17 05:32:00+00:00,2026352035,66.8,0,437.0
2016-04-17 05:33:00+00:00,2026352035,64.8,0,437.0
2016-04-17 05:34:00+00:00,2026352035,63.8,0,437.0
2016-04-17 05:35:00+00:00,2026352035,64.5,0,437.0
2016-04-17 05:36:00+00:00,2026352035,65.2,0,437.0
2016-04-17 05:37:00+00:00,2026352035,65.0,0,437.0
2016-04-17 05:38:00+00:00,2026352035,65.0,0,437.0
2016-04-17 05:39:00+00:00,2026352035,66.0,0,437.0
2016-04-17 05:40:00+00:00,2026352035,69.0,0,437.0
2016-04-17 05:41:00+00:00,2026352035,67.8,0,437.0
2016-04-17 05:42:00+00:00,2026352035,68.16666666666667,0,437.0
2016-04-17 05:43:00+00:00,2026352035,68.0,0,437.0
2016-04-17 05:44:00+00:00,2026352035,68.2,0,437.0
